iter	Passed	Remaining
582	72542	101658
583	72693	101571
584	72840	101478
585	72976	101370
586	73100	101245
587	73233	101132
588	73345	100989
589	73458	100850
590	73562	100697
591	73689	100576
592	73807	100442
593	73961	100358
594	74103	100258
595	74238	100147
596	74364	100024
597	74468	99872
598	74573	99722
599	74672	99563
600	74807	99452
601	74940	99340
602	75067	99218
603	75191	99093
604	75318	98972
605	75437	98840
606	75579	98738
607	75708	98619
608	75834	98498
609	75965	98381
610	76094	98262
611	76224	98145
612	76353	98026
613	76506	97937
614	76652	97840
615	76781	97721
616	76903	97593
617	77028	97469
618	77137	97325
619	77244	97178
620	77365	97049
621	77477	96909
622	77615	96801
623	77764	96706
624	77913	96612
625	78025	96472
626	78129	96322
627	78283	96233
628	78404	96104
629	78530	95981
630	78641	95839
631	78755	95702
632	78853	95546
633	78976	95419
634	79133	95333
635	79273	95228
636	79406	95113
637	79542	95002
638	79670	94881
639	79799	94761
640	79972	94694
641	80122	94598
642	80236	94462
643	80377	94356
644	80501	94230
645	80628	94108
646	80750	93980
647	80917	93904
648	81041	93777
649	81171	93659
650	81266	93500
651	81397	93381
652	81529	93265
653	81645	93130
654	81788	93026
655	81958	92953
656	82084	92829
657	82195	92688
658	82319	92562
659	82455	92449
660	82598	92345
661	82717	92214
662	82832	92077
663	82936	91929
664	83055	91797
665	83175	91668
666	83298	91541
667	83415	91407
668	83567	91311
669	83701	91197
670	83814	91059
671	83947	90943
672	84074	90820
673	84207	90704
674	84338	90585
675	84499	90499
676	84681	90435
677	84808	90312
678	84944	90198
679	85080	90084
680	85194	89948
681	85315	89818
682	85418	89670
683	85537	89538
684	85656	89407
685	85790	89292
686	85912	89163
687	86024	89025
688	86149	88900
689	86307	88809
690	86416	88667
691	86551	88552
692	86682	88433
693	86801	88301
694	86933	88184
695	87056	88057
696	87192	87943
697	87332	87832
698	87465	87715
699	87587	87587
700	87705	87454
701	87834	87334
702	87974	87223
703	88098	87097
704	88239	86987
705	88375	86873
706	88496	86743
707	88616	86614
708	88734	86481
709	88843	86340
710	88965	86212
711	89102	86099
712	89255	86000
713	89371	85867
714	89497	85742
715	89618	85613
716	89736	85481
717	89852	85347
718	89986	85230
719	90132	85124
720	90265	85007
721	90416	84906
722	90565	84803
723	90666	84655
724	90798	84536
725	90944	84430
726	91078	84313
727	91204	84189
728	91314	84049
729	91468	83950
730	91589	83820
731	91718	83699
732	91826	83558
733	91944	83426
734	92081	83312
735	92221	83200
736	92361	83087
737	92488	82964
738	92606	82831
739	92736	82711
740	92853	82578
741	92970	82445
742	93089	82314
743	93188	82166
744	93314	82041
745	93434	81911
746	93543	81772
747	93685	81661
748	93825	81548
749	93964	81436
750	94075	81297
751	94207	81178
752	94334	81054
753	94466	80935
754	94592	80810
755	94728	80694
756	94872	80585
757	94984	80448
758	95099	80314
759	95236	80198
760	95378	80088
761	95495	79955
762	95635	79842
763	95769	79724
764	95888	79593
765	96010	79465
766	96152	79353
767	96283	79233
768	96412	79110
769	96544	78990
770	96678	78872
771	96807	78750
772	96928	78621
773	97057	78498
774	97202	78388
775	97318	78255
776	97446	78133
777	97561	77999
778	97669	77859
779	97774	77718
780	97929	77616
781	98062	77496
782	98184	77368
783	98327	77257
784	98475	77149
785	98636	77051
786	98781	76941
787	98904	76814
788	99014	76676
789	99156	76563
790	99302	76454
791	99435	76334
792	99558	76206
793	99678	76076
794	99821	75964
795	99962	75850
796	100089	75726
797	100212	75598
798	100327	75464
799	100452	75339
800	100602	75232
801	100714	75096
802	100844	74973
803	100983	74858
804	101121	74741
805	101246	74616
806	101373	74491
807	101486	74356
808	101578	74206
809	101698	74077
810	101818	73947
811	101944	73821
812	102098	73716
813	102233	73597
814	102362	73475
815	102495	73354
816	102619	73228
817	102738	73097
818	102878	72982
819	103017	72866
820	103152	72747
821	103272	72617
822	103392	72487
823	103517	72361
824	103641	72234
825	103753	72100
826	103890	71982
827	104022	71860
828	104174	71753
829	104294	71624
830	104412	71492
831	104532	71363
832	104660	71239
833	104770	71103
834	104884	70969
835	105017	70849
836	105122	70709
837	105246	70582
838	105384	70465
839	105512	70341
840	105656	70228
841	105792	70109
842	105918	69984
843	106053	69864
844	106188	69744
845	106324	69626
846	106451	69501
847	106573	69373
848	106689	69241
849	106839	69131
850	106977	69013
851	107105	68889
852	107247	68773
853	107371	68647
854	107506	68527
855	107629	68400
856	107749	68270
857	107870	68142
858	108016	68029
859	108166	67918
860	108272	67780
861	108390	67649
862	108533	67534
863	108651	67404
864	108787	67284
865	108896	67148
866	109020	67021
867	109144	66894
868	109310	66793
869	109407	66650
870	109539	66528
871	109670	66406
872	109805	66285
873	109923	66155
874	110055	66033
875	110181	65907
876	110294	65774
877	110433	65656
878	110578	65541
879	110693	65409
880	110808	65277
881	110966	65170
882	111096	65047
883	111231	64927
884	111364	64805
885	111511	64691
886	111661	64579
887	111799	64461
888	111907	64324
889	112056	64212
890	112199	64095
891	112331	63973
892	112480	63860
893	112640	63754
894	112761	63625
895	112901	63506
896	113047	63392
897	113188	63274
898	113294	63137
899	113419	63010
900	113573	62900
901	113708	62779
902	113848	62660
903	113988	62542
904	114157	62439
905	114306	62325
906	114456	62212
907	114590	62090
908	114728	61970
909	114854	61844
910	114983	61719
911	115109	61593
912	115220	61459
913	115338	61328
914	115475	61208
915	115602	61082
916	115709	60946
917	115842	60823
918	115981	60703
919	116097	60572
920	116234	60451
921	116366	60328
922	116525	60219
923	116663	60099
924	116818	59988
925	116937	59857
926	117114	59757
927	117270	59646
928	117422	59532
929	117570	59417
930	117677	59281
931	117785	59145
932	117929	59028
933	118057	58902
934	118193	58780
935	118314	58651
936	118446	58528
937	118591	58410
938	118701	58276
939	118840	58156
940	119029	58060
941	119183	57946
942	119313	57822
943	119488	57718
944	119624	57597
945	119730	57460
946	119865	57337
947	120011	57220
948	120125	57088
949	120264	56967
950	120406	56848
951	120541	56725
952	120687	56608
953	120828	56487
954	120971	56368
955	121096	56241
956	121220	56113
957	121333	55980
958	121460	55854
959	121583	55725
960	121678	55584
961	121819	55464
962	121953	55341
963	122076	55212
964	122187	55079
965	122309	54950
966	122433	54822
967	122544	54689
968	122693	54572
969	122817	54444
970	122968	54328
971	123093	54201
972	123226	54077
973	123343	53947
974	123472	53821
975	123630	53708
976	123772	53588
977	123895	53459
978	124037	53339
979	124165	53213
980	124289	53085
981	124452	52974
982	124602	52857
983	124738	52734
984	124868	52609
985	124991	52481
986	125150	52367
987	125288	52245
988	125434	52127
989	125565	52001
990	125697	51877
991	125827	51751
992	125959	51626
993	126089	51501
994	126214	51373
995	126360	51254
996	126478	51124
997	126624	51004
998	126763	50883
999	126888	50755
1000	127032	50635
1001	127166	50511
1002	127277	50377
1003	127395	50247
1004	127519	50119
1005	127652	49995
1006	127795	49874
1007	127919	49746
1008	128053	49622
